09:32:19:745 [ALWAYS]	GUDE Logging Started
09:32:19:746 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:32:19:746 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:32:19:746 [ERROR]	Initialize resume cache pointer failure
09:32:19:747 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
09:32:19:747 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
09:32:21:894 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
09:32:21:894 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:32:21:894 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:32:21:894 [ERROR]	Initialize resume cache pointer failure
09:32:21:894 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
09:32:21:894 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
